Fund Holdings as of,"29/May/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","105’702’054.30","0.35","105’702’054.30","427’338.00","247.35","United States","NASDAQ","USD"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","102’642’403.62","0.34","102’642’403.62","1’677’986.00","61.17","United States","NASDAQ","USD"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","100’923’439.98","0.34","100’923’439.98","64’438.00","1’566.21","United States","NASDAQ","USD"
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","99’059’708.67","0.33","99’059’708.67","427’479.00","231.73","United States","NASDAQ","USD"
"USD","USD CASH","Cash and/or Derivatives","Cash","99’047’924.93","0.33","99’047’924.93","99’047’925.00","100.00","United States","-","USD"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","95’441’676.48","0.32","95’441’676.48","1’098’546.00","86.88","United States","NASDAQ","USD"
"AEP","AMERICAN ELECTRIC POWER INC","Utilities","Equity","89’468’161.03","0.30","89’468’161.03","706’309.00","126.67","United States","NASDAQ","USD"
"CTAS","CINTAS CORP","Industrials","Equity","89’129’869.36","0.30","89’129’869.36","520’436.00","171.26","United States","NASDAQ","USD"
"WBD","WARNER BROS. DISCOVERY INC SERIES","Communication","Equity","88’119’719.85","0.29","88’119’719.85","3’262’485.00","27.01","United States","NASDAQ","USD"
"DASH","DOORDASH INC CLASS A","Consumer Discretionary","Equity","84’813’801.21","0.28","84’813’801.21","532’449.00","159.29","United States","NASDAQ","USD"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","83’811’113.06","0.28","83’811’113.06","136’327.00","614.78","United States","NASDAQ","USD"
"BKR","BAKER HUGHES CLASS A","Energy","Equity","82’857’406.52","0.28","82’857’406.52","1’297’079.00","63.88","United States","NASDAQ","USD"
"LITE","LUMENTUM HOLDINGS INC","Information Technology","Equity","80’137’965.68","0.27","80’137’965.68","93’733.00","854.96","United States","NASDAQ","USD"
"PCAR","PACCAR INC","Industrials","Equity","76’296’242.49","0.25","76’296’242.49","691’277.00","110.37","United States","NASDAQ","USD"
"ABNB","AIRBNB INC CLASS A","Consumer Discretionary","Equity","74’496’560.82","0.25","74’496’560.82","558’822.00","133.31","United States","NASDAQ","USD"
"PDD","PDD HOLDINGS ADS INC","Consumer Discretionary","Equity","74’289’214.28","0.25","74’289’214.28","879’787.00","84.44","China","NASDAQ","USD"
"FANG","DIAMONDBACK ENERGY INC","Energy","Equity","70’290’201.72","0.23","70’290’201.72","367’089.00","191.48","United States","NASDAQ","USD"
"MCHP","MICROCHIP TECHNOLOGY INC","Information Technology","Equity","66’637’386.00","0.22","66’637’386.00","704’040.00","94.65","United States","NASDAQ","USD"
"FAST","FASTENAL","Industrials","Equity","66’451’340.80","0.22","66’451’340.80","1’503’424.00","44.20","United States","NASDAQ","USD"
"EA","ELECTRONIC ARTS INC","Communication","Equity","66’097’188.96","0.22","66’097’188.96","327’668.00","201.72","United States","NASDAQ","USD"
"XEL","XCEL ENERGY INC","Utilities","Equity","65’781’003.00","0.22","65’781’003.00","827’434.00","79.50","United States","NASDAQ","USD"
"MSTR","STRATEGY INC CLASS A","Information Technology","Equity","64’969’969.65","0.22","64’969’969.65","408’385.00","159.09","United States","NASDAQ","USD"
"FER","FERROVIAL NV","Industrials","Equity","64’194’502.98","0.21","64’194’502.98","943’898.00","68.01","Spain","NASDAQ","USD"
"ADSK","AUTODESK INC","Information Technology","Equity","64’167’938.41","0.21","64’167’938.41","277’411.00","231.31","United States","NASDAQ","USD"
"ARM","ARM HOLDINGS AMERICAN DEPOSITARY S","Information Technology","Equity","63’421’560.93","0.21","63’421’560.93","179’517.00","353.29","United Kingdom","NASDAQ","USD"
"EXC","EXELON CORP","Utilities","Equity","61’556’721.80","0.21","61’556’721.80","1’348’745.00","45.64","United States","NASDAQ","USD"
"ODFL","OLD DOMINION FREIGHT LINE INC","Industrials","Equity","61’395’928.35","0.21","61’395’928.35","272’689.00","225.15","United States","NASDAQ","USD"
"IDXX","IDEXX LABORATORIES INC","Health Care","Equity","58’973’978.03","0.20","58’973’978.03","104’651.00","563.53","United States","NASDAQ","USD"
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","54’668’524.25","0.18","54’668’524.25","1’221’643.00","44.75","United States","NASDAQ","USD"
"CCEP","COCA COLA EUROPACIFIC PARTNERS PLC","Consumer Staples","Equity","54’009’794.67","0.18","54’009’794.67","595’543.00","90.69","Netherlands","NASDAQ","USD"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Communication","Equity","53’971’451.52","0.18","53’971’451.52","240’772.00","224.16","United States","NASDAQ","USD"
"ALNY","ALNYLAM PHARMACEUTICALS INC","Health Care","Equity","53’193’173.04","0.18","53’193’173.04","176’148.00","301.98","United States","NASDAQ","USD"
"KDP","KEURIG DR PEPPER INC","Consumer Staples","Equity","52’971’358.44","0.18","52’971’358.44","1’763’948.00","30.03","United States","NASDAQ","USD"
"TRI","THOMSON REUTERS CORP","Industrials","Equity","50’580’320.76","0.17","50’580’320.76","584’676.00","86.51","Canada","NASDAQ","USD"
"AXON","AXON ENTERPRISE INC","Industrials","Equity","47’226’433.84","0.16","47’226’433.84","105’247.00","448.72","United States","NASDAQ","USD"
"PAYX","PAYCHEX INC","Industrials","Equity","45’357’739.96","0.15","45’357’739.96","467’702.00","96.98","United States","NASDAQ","USD"
"ROP","ROPER TECHNOLOGIES INC","Information Technology","Equity","44’465’770.35","0.15","44’465’770.35","136’595.00","325.53","United States","NASDAQ","USD"
"WDAY","WORKDAY INC CLASS A","Information Technology","Equity","41’569’126.50","0.14","41’569’126.50","284’350.00","146.19","United States","NASDAQ","USD"
"CPRT","COPART INC","Industrials","Equity","41’072’541.66","0.14","41’072’541.66","1’253’358.00","32.77","United States","NASDAQ","USD"
"DXCM","DEXCOM INC","Health Care","Equity","38’031’036.30","0.13","38’031’036.30","515’745.00","73.74","United States","NASDAQ","USD"
"KHC","KRAFT HEINZ","Consumer Staples","Equity","37’658’580.54","0.13","37’658’580.54","1’568’454.00","24.01","United States","NASDAQ","USD"
"GEHC","GE HEALTHCARE TECHNOLOGIES INC","Health Care","Equity","36’828’788.82","0.12","36’828’788.82","590’773.00","62.34","United States","NASDAQ","USD"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Information Technology","Equity","34’722’708.62","0.12","34’722’708.62","622’773.00","55.76","United States","NASDAQ","USD"
"VRSK","VERISK ANALYTICS INC","Industrials","Equity","31’159’244.37","0.10","31’159’244.37","178’063.00","174.99","United States","NASDAQ","USD"
"INSM","INSMED INC","Health Care","Equity","30’395’154.46","0.10","30’395’154.46","284’306.00","106.91","United States","NASDAQ","USD"
"ZS","ZSCALER INC","Information Technology","Equity","29’716’239.37","0.10","29’716’239.37","212’669.00","139.73","United States","NASDAQ","USD"
"ICSUAGD","BLK ICS USD LIQ AGENCY DIS","Cash and/or Derivatives","Money Market","25’048’735.82","0.08","25’048’735.82","25’048’736.00","1.00","Ireland","-","USD"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Communication","Equity","24’064’704.90","0.08","24’064’704.90","167’058.00","144.05","United States","NASDAQ","USD"
"MLIFT","CASH COLLATERAL USD MLIFT","Cash and/or Derivatives","Cash Collateral and Margins","5’708’000.00","0.02","5’708’000.00","5’708’000.00","100.00","United States","-","USD"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","574’345.48","0.00","574’345.48","426’088.00","134.79","United Kingdom","-","GBP"
"CAD","CAD CASH","Cash and/or Derivatives","Cash","76.22","0.00","76.22","105.00","72.59","Canada","-","CAD"
"USD","USD/EUR","Cash and/or Derivatives","FX","101.55","0.00","101.55","-51’519’982.00","1.17","European Union","-","EUR"
"NQM6","NASDAQ 100 E-MINI JUN 26","Cash and/or Derivatives","Futures","0.00","0.00","72’364’495.00","119.00","30’405.25","-","Index And Options Market","USD"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","-46’899’379.02","-0.16","-46’899’379.02","-40’189’707.00","116.70","European Union","-","EUR"
 
